reader_id,stop_name,short_name,line_id,stop_lat,stop_lon,comment
13212,S 188th St NB,188th St NB,1,47.43498212,-122.2954059,
13213,S 200th St SB,200th St SB,1,47.42237836,-122.2965807,
13214,S 200th St NB,200th St NB,1,47.42327484,-122.2960925,
13215,S 208th ST SB,208th ST SB,1,47.41480668,-122.2975463,
13216,S 208th St NB,208th St NB,1,47.41577225,-122.2970474,
13217,S 216th St SB,216th St SB,1,47.40775669,-122.2984958,
13218,S 216th St NB,216th St NB,1,47.40884584,-122.2979432,
13219,Kent Des Moines SB,Kent Des Moines SB,1,47.39262255,-122.2951752,
13220,Kent Des Moines NB,Kent Des Moines NB,1,47.39453998,-122.2946441,
13221,S 240th St SB,240th St SB,1,47.38579115,-122.2968382,
13222,S 240th St NB,240th St NB,1,47.38627421,-122.2963339,
13223,S 260th St SB,260th St SB,1,47.36801666,-122.3043215,
13224,S 260th St NB,260th St NB,1,47.36947357,-122.3031467,
13225,S 272 ST SB,272 ST SB,1,47.35732656,-122.3099756,
13226,S 272nd St NB,272nd St NB,1,47.35887461,-122.3086882,
13227,S 288th St SB,288th St SB,1,47.34297763,-122.3124969,
13228,S 288th St NB,288th St NB,1,47.34377369,-122.3120812,
13229,S 312th St SB,312th St SB,1,47.32209058,-122.3135644,
13230,S 312th St NB,312th St NB,1,47.32281058,-122.3131835,
13300,Canyon Park P&R,Canyon Park,8,47.794477,-122.21132,
13301,220th St NB,220th St NB,8,47.798884,-122.211686,
13302,208th St NB,208th St NB,8,47.810137,-122.207465,
13303,208th St SB,208th St SB,8,47.808963,-122.207691,
13304,196th St NB,196th St NB,8,47.820552,-122.207352,
13305,196th St SB,196th St SB,8,47.820017,-122.20756,
13306,180th St NB,180th St NB,8,47.834921,-122.210835,
13308,164th St NB,164th St NB,8,47.84995,-122.217593,
13309,164th St SB,164th St SB,8,47.849244,-122.217507,
13310,153rd St SE NB,153rd St SE,8,47.859515,-122.21885,
13311,153rd St SE SB,153rd St SE,8,47.858997,-122.218977,
13314,16th Ave NB,16th Ave NB,8,47.878283,-122.211737,
13315,16th Ave SB,16th Ave SB,8,47.878031,-122.211423,
13317,Dumas Rd SB,Dumas Rd SB,8,47.858997,-122.218977,
13318,3rd Ave E NB,3rd Ave E NB,8,47.882058,-122.228468,
13319,3rd Ave E SB,3rd Ave E SB,8,47.881837,-122.227572,
13320,4th Ave W NB,4th Ave W NB,8,47.882002,-122.239239,
13321,4th Ave W SB,4th Ave W SB,8,47.881767,-122.239202,
13322,Gibson Road NB,Gibson Road NB,8,47.881869,-122.249814,
13324,Hwy 99 NB,Hwy 99 NB,8,47.890108,-122.258833,
13325,Hwy 99 SB,Hwy 99 SB,8,47.888753,-122.257978,
13326,112th Street NB,112th Street NB,8,47.896822,-122.263692,
13327,112th Street SB,112th Street SB,8,47.896243,-122.263481,
13330,Kasch Park NB,Kasch Park NB,8,47.918626,-122.271586,
13331,Kasch Park SB,Kasch Park SB,8,47.917958,-122.271781,
13332,Seaway Transit Center,Seaway TC,8,47.930117,-122.259936,#1
13333,Seaway Transit Center,Seaway TC,8,47.930117,-122.259936,#2
13838,Federal Way TC Bay 7,FWTC Bay 7,1,47.3175545,-122.304787,
