reader_id,stop_name
0x30220b0,Boucicaut
0x3022090,Balard
0x30210c0,Filles du Calvaire
0x3021060,Temple
0x30210d0,Saint-Sébastien - Froissart
0x3021010,Rambuteau
0x3021030,Arts et Métiers
0x3021070,République
0x30210f0,Saint-Ambroise
0x3021040,Jacques Bonsergent
0x30210a0,Oberkampf
0x3021050,Goncourt
0x30210b0,Parmentier
0x30210e0,Richard-Lenoir
0x3022260,Avenue Émile Zola
0x30222d0,Rue de la Pompe
0x30222e0,Boissière
0x3022270,Dupleix
0x30222f0,Trocadéro
0x3022280,Passy
0x3022240,La Motte-Picquet - Grenelle
0x3022220,Porte Dauphine
0x3022250,Commerce
0x30222b0,La Muette
0x3022290,Ranelagh
0x30208c0,Saint-Placide
0x3020860,Edgar Quinet
0x3020830,Plaisance
0x3020870,Vavin
0x3020880,Montparnasse - Bienvenüe
0x3020840,Gaîté
0x3020820,Pernety
0x30208e0,Notre-Dame-des-Champs
0x30212a0,Quai de la Rapée
0x3021210,Quai de la Gare
0x3021220,Chevaleret
0x3021280,Gare de Lyon
0x3021240,Saint-Marcel
0x3021270,Gare d'Austerlitz
0x30226d0,Carrefour Pleyel
0x3022610,Mairie de Clichy
0x3022630,Les Agnettes
0x30226f0,Basilique de Saint-Denis
0x3022640,Asnières - Gennevilliers - Les Courtilles
0x30226e0,Saint-Denis - Porte de Paris
0x3022620,Gabriel Péri
0x30226a0,Garibaldi
0x30226b0,Mairie de Saint-Ouen
0x3022690,La Chapelle)
0x3023c50,Pereire
0x3023c10,Porte Maillot
0x3023c90,Porte de Clichy
0x3023cc0,Guy Môquet
0x3023cd0,Porte de Saint-Ouen
0x3023c40,Wagram
0x3023c80,Brochant
0x30228a0,Simplon
0x3022810,Porte de Clignancourt
0x3022890,Marcadet - Poissonniers
0x30228b0,Jules Joffrin
0x30228c0,Lamarck - Caulaincourt
0x3022870,Marx Dormoy
0x3022860,Porte de la Chapelle
0x30214c0,Varenne
0x30214d0,Assemblée nationale
0x3021410,Champs-Élysées - Clemenceau
0x3021430,Madeleine
0x3021470,École Militaire
0x3021480,La Tour-Maubourg
0x3021440,Bir-Hakeim
0x3021420,Concorde
0x30214e0,Solférino
0x30214b0,Saint-Denis - Université
0x3021490,Invalides
0x3022a10,Chaussée d'Antin - La Fayette
0x3022a30,Cadet
0x3022a70,Barbès - Rochechouart
0x3022a80,Gare du Nord
0x3022a40,Château Rouge
0x3022a20,Le Peletier
0x3022aa0,Poissonnière
0x3022ab0,Château-Landon
0x3022a90,Gare de l'Est
0x30204c0,Saint-Sulpice
0x3020460,Saint-François-Xavier
0x3020430,Sèvres - Lecourbe
0x3020470,Duroc
0x30204f0,Saint-Germain-des-Prés
0x3020480,Vaneau
0x3020440,Ségur
0x30204e0,Mabillon
0x3020420,Cambronne
0x30204a0,Rue du Bac
0x30204b0,Rennes
0x3020490,Sèvres - Babylone
0x3020ac0,Avron
0x3020a60,Rue des Boulets
0x3020ad0,Alexandre Dumas
0x3020a30,Porte de Montreuil
0x3020a70,Porte de Vincennes
0x3020a40,Maraîchers
0x3020a20,Robespierre
0x3020a50,Buzenval
0x3020aa0,Nation
0x3020a90,Picpus
0x3021660,Grands Boulevards
0x30216d0,Sentier
0x3021610,Tuileries
0x3021630,Pyramides
0x3021670,Richelieu - Drouot
0x30216f0,Étienne Marcel
0x3021680,Bonne Nouvelle
0x3021640,Bourse
0x3021620,Palais Royal - Musée du Louvre
0x30216e0,Réaumur - Sébastopol
0x30216b0,Château d'Eau
0x30216a0,Strasbourg - Saint-Denis
0x3022ed0,Buttes Chaumont
0x3022e30,Mairie des Lilas
0x3022ee0,Jourdain
0x3022ef0,Télégraphe
0x3022e80,Place des Fêtes
0x3022e40,Porte de Bagnolet
0x3022ea0,Danube
0x3022e20,Porte des Lilas
0x3022e50,Gallieni
0x3022eb0,Pré Saint-Gervais
0x3022e90,Botzaris
0x3023ac0,Porte de Champerret
0x3023a00,La Défense (correspondance RER)
0x3023ae0,Anatole France
0x3023af0,Pont de Levallois - Bécon
0x3023a80,Les Sablons
0x3023a40,Boulogne - Jean Jaurès
0x3023ad0,Louise Michel
0x3023aa0,Esplanade de la Défense
0x3023a50,Boulogne - Pont de Saint-Cloud
0x3023ab0,La Défense
0x3023a90,Pont de Neuilly
0x30230c0,Belleville
0x3023060,Rue Saint-Maur
0x30230d0,Couronnes
0x3023010,Voltaire
0x30230e0,Pyrénées
0x3023070,Philippe Auguste
0x3023080,Saint-Fargeau
0x3023040,Père Lachaise
0x3023020,Charonne
0x3023050,Ménilmontant
0x30230a0,Gambetta
0x3023090,Pelleport
0x30218c0,Bastille
0x3021860,Cardinal Lemoine
0x30218d0,Chemin Vert
0x3021810,Faidherbe - Chaligny
0x3021830,Montgallet
0x3021870,Jussieu
