reader_id,stop_id,stop_code
0x3c365c4,1476,
0x3c365d9,1497B,
0x3c36488,1160,
0x3c3648a,4367B,
0x3c366f0,1776,
0x3c3648b,8302,
0x3c3648d,6354B,
0x3c3648e,1703,
0x3c3648f,1167,
0x3c36490,1168,
0x3c36491,8342,
0x3c369c4,8352,
0x3c38b67,6191,
0x3c39785,6056,
0x3c3857b,6055,
0x3c3857c,1462,
0x3c3857d,6454,
0x3c3857e,1460,
0x3c38590,1459,
0x3c38474,1153,
0x3c38475,9983,
0x3c38580,1458,
0x3c38581,8112,
0x3c38582,1456,
0x3c3858d,1449,
0x3c38584,5226F,
0x3c3858e,1450,
0x3c3858f,1451,
0x3c38587,1833B,
0x3c38727,1832,
0x3c38726,1830,
0x3c38728,1832,
0x3c38729,1833B,
0x3c385ab,1451,
0x3c385aa,1450,
0x3c385ae,5226F,
0x3c385a9,1449,
0x3c385b0,1456,
0x3c385b1,8112,
0x3c385b2,1458,
0x3c38480,9983,
0x3c38481,1153,
0x3c385b3,1459,
0x3c385b4,1460,
0x3c385b5,6454,
0x3c385b6,1462,
0x3c397a7,6055,
0x3c397a8,6056,
0x3c38482,1459,
0x3c3a5f8,1528,
0x3c3a610,1552,
0x3c3a611,1553,
0x3c3a612,1554,
0x3c3a60e,1550,
0x3c3a629,8122,
0x3c3a62a,1578,
0x3c3af46,3910,
0x3c3a615,3919,
0x3c3a616,1558,
0x3c3a617,3954,
0x3c3a618,1560,
0x3c3a619,1561,
0x3c3a61a,6454,
0x3c3a61b,1563,
0x3c3ac90,3251,
0x3c3a61d,1565,
0x3c3a61e,9296,
0x3c3a61f,1567,
0x3c3a620,1568,
0x3c3a621,3100,
0x3c3a622,1582,
0x3c3a623,8412,
0x3c3a624,6357F,
0x3c3ad03,8032,
0x3c3ad02,8022,
0x3c3a5de,2301,
0x3c3a5dd,8012,
0x3c3ad18,8022,
0x3c3ad17,8032,
0x3c3ad19,3359,
0x3c3ad1a,3358,
0x3c3a5e4,8412,
0x3c3a5e5,1582,
0x3c3a5e6,3100,
0x3c3a5e7,1568,
0x3c3a5e8,1567,
0x3c3a5e9,9296,
0x3c3a5ea,1565,
0x3c3a5eb,3251,
0x3c3a5ec,1563,
0x3c3a5ed,6454,
0x3c3a5ee,1561,
0x3c3a5ef,1560,
0x3c3a5f0,3954,
0x3c3a5f1,1558,
0x3c3a5f2,3919,
0x3c3af3b,3910,
0x3c3a5f9,1578,
0x3c3a5fa,8122,
0x3c3a604,1550,
0x3c3a5f5,1554,
0x3c3a5f6,1553,
0x3c3a5f7,1552,
0x3c446ea,8312,
0x3c4446a,8302,
0x3c446c1,1776,
0x3c44773,4367B,
0x3c446c0,1769,
0x3c446c5,3160,
0x3c446b0,1764,
0x3c446b1,6155F,
0x3c446b2,1762,
0x3c446b3,5311,
0x3c446b4,1760,
0x3c446b5,8222,
0x3c446b6,1758B,
0x3c446b7,1757,
0x3c446b8,1756B,
0x3c446c3,7914,
0x3c44aa5,2753,
0x3c44aa7,2752,
0x3c44aa8,2728,
0x3c44ac0,2752,
0x3c44ac1,2753,
0x3c446d7,7914,
0x3c446dc,1756B,
0x3c446dd,1757,
0x3c446de,1758B,
0x3c446df,8222,
0x3c446e0,1760,
0x3c446e1,5311,
0x3c446e2,1762,
